Propertyname,Address,PropertyType,Price,PSF,Floorsize,Floorlevel,Furnishing,Bedrooms,Bathrooms
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Riverville Residences,"Jalan Klang Lama Off Jalan Taman Sri Sentosa, Taman Sri Sentosa, Old Klang Road (Jalan Klang Lama), Kuala Lumpur",Condominium For Sale,"510,000",RM 364.29 psf,1400 sqft,Middle Floor,Partially Furnished,3,2
KL Wangsa Maju @ Next to LRT || RM 1300 / Month || 4R2B || 10min to KLCC,"Seksyen 10 Wangsa Maju, Wangsa Maju, Kuala Lumpur",Condominium For Sale,"300,000",RM 250.00 psf,1200 sqft,n/a,Fully Furnished,4,2
The Link 2 Residences,"Bukit Jalil Highway Off Jalan Jalil Perkasa 1, Bukit Jalil, Kuala Lumpur",Condominium For Sale,"810,000",RM 666.12 psf,1216 sqft,n/a,Partially Furnished,3,2
KL Wangsa Maju @ Next to MRT || RM 1300 / Month || 4R2B || 10min to KLCC,"Wangsa Maju, Kuala Lumpur",Condominium For Sale,"300,000",RM 250.00 psf,1200 sqft,n/a,n/a,4,2
5Min Bukit Jalil Landed Concept 20ft Ceiling Height Big Layout High Cash Back,"Bukit Jalil, Kuala Lumpur",Condominium For Sale,"490,088",RM 358.51 psf,1367 sqft,n/a,Partially Furnished,3,3
Last Freehold Residential Bukit Jalil Dual keys concept Free Brand Furnish,"Bukit Jalil, Kuala Lumpur",Condominium For Sale,"650,000",RM 471.70 psf,1378 sqft,n/a,Partially Furnished,3,3
CHEAPEST! !! RM425k KL CHERAS [WALK TO MRT + FULL LOAN + 3R2B] Near Ekocheras HUKM Permaisuri,"Taman Midah, Taman Segar, Cheras, Kuala Lumpur",Condominium For Sale,"425,000",RM 425.00 psf,1000 sqft,n/a,Partially Furnished,4,2
"ARIA Luxury Residence, KLCC","- Jalan Tun Razak, Kuala Lumpur Kuala Lumpur, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"2,175,666","RM 1,448.51 psf",1502 sqft,Middle Floor,Fully Furnished,3,2
The Hipster @ Taman Desa,"Jalan Desa, Taman Bukit Desa, Taman Desa, Kuala Lumpur",Condominium For Sale,"490,000",RM 532.03 psf,921 sqft,n/a,Unfurnished,3,2
Mirage Residence Luxury Condominium,"Jalan Yap Kwan Seng, KL City, Kuala Lumpur",Condominium For Sale,"1,637,581","RM 1,282.37 psf",1277 sqft,n/a,Fully Furnished,2,2
One KL,"6 Jalan Pinang, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"3,500,000",RM 944.41 psf,3706 sqft,High Floor,Partially Furnished,4,5
Suasana Bangsar,"Jalan Kaloi Off Jalan Kurau, Bangsar, Kuala Lumpur",Condominium For Sale,"1,500,000",RM 698.65 psf,2147 sqft,n/a,Fully Furnished,4,5
[ CNY Sales ] + 0% Downpayment + MRT + Freehold + High Rental,"The Food Merchant, Solaris Dutamas, Mont Kiara, Kuala Lumpur",Apartment For Sale,"590,000",RM 449.35 psf,1313 sqft,n/a,n/a,3,2
Verve Suites @ KL South,"Jalan Klang Lama, Old Klang Road (Jalan Klang Lama), Kuala Lumpur",Condominium For Sale,"650,000",RM 918.08 psf,708 sqft,n/a,Fully Furnished,2,2
Cloud Tree @ Cheras,"Jalan Juara, Cheras, Kuala Lumpur",Condominium For Sale,"658,000",RM 518.52 psf,1269 sqft,High Floor,Partially Furnished,3,2
Cloud Tree @ Cheras,"Jalan Juara, Cheras, Kuala Lumpur",Condominium For Sale,"480,000",RM 537.51 psf,893 sqft,High Floor,Unfurnished,3,2
Endah Puri,"- Jalan 1/149e, Taman Endah, Sri Petaling, Kuala Lumpur",Flat For Sale,"380,000",RM 307.19 psf,1237 sqft,n/a,Unfurnished,3,2
[Freehold Fully Furnished + 0%D/P] KL Condo 1290sqft 300m LRT / MRT@ Desa Park City,"ParkCity Heights, Desa ParkCity, Kuala Lumpur",Condominium For Sale,"419,000",RM 324.81 psf,1290 sqft,n/a,Fully Furnished,3,2
Robson Condominium,"- Persiaran Syed Putra 2, Seputeh, Kuala Lumpur",Condominium For Sale,"680,000",RM 517.90 psf,1313 sqft,n/a,Partially Furnished,3,2
Pavilion Damansara Heights,"Jalan Damanlela, Damansara Heights, Kuala Lumpur",Condominium For Sale,"1,448,888","RM 1,466.49 psf",988 sqft,n/a,Partially Furnished,2,2
Park Place @ Parckcity Towncenter,"Persiaran Residen, Desa ParkCity, Kuala Lumpur",Condominium For Sale,"1,476,000","RM 1,079.74 psf",1367 sqft,Middle Floor,Partially Furnished,3,2
Setapak Setapak Setapak Setapak Setapak Setapak Setapak Setapak,"Setapak, Kuala Lumpur",Condominium For Sale,"450,000",RM 346.15 psf,1300 sqft,n/a,n/a,4,3
Bangsar South Luxury Condo,"Pantai Sentral Park, Bangsar South, Kuala Lumpur",Condominium For Sale,"480,000",RM 436.36 psf,1100 sqft,n/a,Partially Furnished,3,2
Vantage Point,"- Jalan 4/125, Desa Petaling, Salak Selatan, Kuala Lumpur",Condominium For Sale,"320,000",RM 361.17 psf,886 sqft,Low Floor,Unfurnished,3,2
Fully Furnished [ Only 430k ! ! ] Below Market Price 30% Cash Back Free Legal Fee Mid Valley,"Mid Valley City, Kuala Lumpur",Condominium For Sale,"429,887",RM 402.52 psf,1068 sqft,n/a,n/a,3,2
kepong baru new condo,"kepong, Kepong Baru, Kepong, Kuala Lumpur",Condominium For Sale,"318,000",RM 454.29 psf,700 sqft,n/a,Partially Furnished,3,2
Cheras Cheras Cheras Cheras Cheras Cheras Cheras Cheras Cheras Cheras Cheras Cheras Cheras Cheras,"Cheras, Kuala Lumpur",Condominium For Sale,"400,000",RM 400.00 psf,1000 sqft,n/a,Fully Furnished,3,2
HOT INVEST @ Beside Mall & University | Monthly RM 950 Rental RM 1800 Cash Rebate 120k,"Jalan Sultan Ismail, KL City, Kuala Lumpur",Condominium For Sale,"200,000",RM 400.00 psf,500 sqft,n/a,Partially Furnished,2,1
UNIO Residence,"Jalan Kepong, Jinjang, Kepong, Kuala Lumpur",Condominium For Sale,"735,000",RM 616.61 psf,1192 sqft,n/a,Partially Furnished,4,3
Platinum Splendor Residensi Semarak,"Jalan Semarak, Kampung Padang Tembak, Bukit Keramat, Keramat, Kuala Lumpur",Condominium For Sale,"540,000",RM 507.04 psf,1065 sqft,n/a,Partially Furnished,3,2
New Klang Lama Project 【Below Market 20%】Developer Clearance Limited Units,"Old Klang Road (Jalan Klang Lama), Kuala Lumpur",Condominium For Sale,"689,000",RM 574.17 psf,1200 sqft,n/a,n/a,4,2
"Plaza Medan Putra, Kepong","Kepong, Kuala Lumpur",Condominium For Sale,"293,000",RM 325.56 psf,900 sqft,n/a,Unfurnished,3,2
288 Residences @ Kuchai Lama,"Jalan 1/127a Off Jalan Gembira, Kuchai Lama, Kuala Lumpur",Condominium For Sale,"615,000",RM 427.08 psf,1440 sqft,High Floor,Partially Furnished,4,4
Le Yuan Residence,"Jalan 6/127a Off Jalan Senang Ria, Happy Garden, Kuchai Lama, Kuala Lumpur",Condominium For Sale,"688,000",RM 589.04 psf,1168 sqft,Middle Floor,Partially Furnished,2,2
"Wangsa Maju Cheapest Condo, 5 Mins to LRT & Mall, Actual price","Taman Setapak, Setapak, Kuala Lumpur",Condominium For Sale,"300,000",RM 375.00 psf,800 sqft,Middle Floor,Partially Furnished,3,2
Palace Court,"10 Jalan 3/115c Off Jalan Kuchai Lama, Taman Kuchai J, Kuchai Lama, Kuala Lumpur",Condominium For Sale,396.00,RM 0.30 psf,1313 sqft,n/a,Partially Furnished,3,2
Arte @ Kuchai Lama,"Jalan 1/116c Off Jalan Kuchai Maju, Kuchai Entrepreneurs Park, Kuchai Lama, Kuala Lumpur",Condominium For Sale,"648,000",RM 432.00 psf,1500 sqft,Middle Floor,Partially Furnished,4,3
Vista Damai,"Jalan Aman Off Jalan Tun Razak / Jalan Damai, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"1,100,000",RM 769.77 psf,1429 sqft,Middle Floor,Partially Furnished,3,3
EdgeWood Residences @ SkySanctuary,"Kampung Baru Air Panas, Setapak, Kuala Lumpur",Condominium For Sale,"447,000",RM 490.67 psf,911 sqft,n/a,Unfurnished,3,2
Star Residences @ KLCC,"Jalan Yap Kwan Seng, Off Jalan Ampang, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"1,482,220","RM 2,117.46 psf",700 sqft,High Floor,Partially Furnished,1,1
Pangsapuri Mawar (Sentul),"- Jalan 7/48A, Bandar Baru Sentul, Sentul, Kuala Lumpur",Apartment For Sale,"350,000",RM 333.33 psf,1050 sqft,Low Floor,Unfurnished,3,2
Seasons Garden Residences @ Wangsa Maju,"Jalan 26/26, Taman Setapak Jaya, Seksyen 10 Wangsa Maju, Wangsa Maju, Kuala Lumpur",Condominium For Sale,"475,000",RM 616.88 psf,770 sqft,High Floor,Partially Furnished,3,2
Mandy Villa,"3703 G Jalan Segambut, Segambut, Kuala Lumpur",Apartment For Sale,"385,000",RM 320.83 psf,1200 sqft,High Floor,Fully Furnished,3,2
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"2,680,000","RM 2,263.51 psf",1184 sqft,n/a,Partially Furnished,3,3
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"1,680,000","RM 1,976.47 psf",850 sqft,Low Floor,Partially Furnished,2,2
Trinity Pentamont,"Jalan Kiara 5, Mont Kiara, Mont Kiara, Kuala Lumpur",Condominium For Sale,"1,200,000",RM 870.20 psf,1379 sqft,n/a,Partially Furnished,3,3
Kuala Lumpur Kuala Lumpur Kuala Lumpur,"KL City, Kuala Lumpur",Condominium For Sale,"300,000",RM 300.00 psf,1000 sqft,n/a,Fully Furnished,3,2
"Teratai Mewah (Block 15, 17, 19, 21)","Jalan Langkawi, Taman Setapak, Setapak, Kuala Lumpur",Apartment For Sale,"200,000",RM 304.41 psf,657 sqft,n/a,n/a,3,1
Prima Setapak II,"- Jalan Gombak Sejahtera, Setapak, Setapak, Kuala Lumpur",Condominium For Sale,"430,000",RM 344.55 psf,1248 sqft,n/a,n/a,3,2
Platinum Hill PV 2,"No. 2 Jalan Taman Melati 1, Taman Melati Utama, Setapak, Kuala Lumpur",Condominium For Sale,"520,000",RM 396.04 psf,1313 sqft,n/a,n/a,4,2
